Model,RMSE,MAE,MAPE (%),R²,Time (s)
CatBoost,3.4450555722888603,2.8981681511425155,4.111285151231624,-238.58858960681076,0.06109801928202311
XGBoost,3.550731786229979,2.8710973335214285,4.11802772005849,-109.16670002189421,0.04231389363606771
RandomForest,3.653171236975585,3.1166318505984076,4.405578253050135,-392.1578962878648,0.11996086438496907
LightGBM,3.8454655053034306,3.191701253716829,4.491999849555506,-657.5124229751069,0.01430058479309082
ETS,4.593278846347931,3.92831304814259,5.660785000165574,-11.551173035415845,0.012058099110921225
SARIMA,12.577250333441974,10.681040223461048,14.771477773128334,-27743.6971210808,0.022736310958862305
GRU,54.722846472044345,54.668638947793,76.88701189840599,-117570.0034915099,0.10761737823486328
LSTM,58.192690884447046,58.14214831245093,81.79361175986547,-131909.2236768869,0.12946486473083496
Prophet,1118.428578051267,1091.3607399793593,1524.666700222809,-76253743.21781756,1.1856121222178142
