iter	RMSE
0	2.741634729
1	2.38990726
2	2.126847319
3	1.938935668
4	1.772290503
5	1.61169088
6	1.461228028
7	1.346583813
8	1.262914584
9	1.181703101
10	1.098007478
11	1.042225482
12	0.9754726637
13	0.9191535476
14	0.8670227972
15	0.8188184292
16	0.7742963833
17	0.7332284721
18	0.6872633674
19	0.6520388541
20	0.6196550978
21	0.5827194577
22	0.5551133551
23	0.5237198592
24	0.4692283303
25	0.4470188211
26	0.4266911531
27	0.3836267715
28	0.3659472592
29	0.3497917273
30	0.3164498735
31	0.2859885256
32	0.2728229224
33	0.260787182
34	0.2387459792
35	0.2281001993
36	0.2099669848
37	0.2004776335
38	0.1907401081
39	0.1741364719
40	0.1657265069
41	0.1581913608
42	0.1439152816
43	0.1329471991
44	0.1273396139
45	0.1218133748
46	0.1129277682
47	0.1030655639
48	0.09488072
49	0.0865687407
50	0.08272893211
51	0.07926763354
52	0.07332563156
53	0.0703649346
54	0.06425683617
55	0.05930908498
56	0.0547889956
57	0.05252446846
58	0.05048675271
59	0.04686621083
60	0.04318861601
61	0.04159164124
62	0.040099239
63	0.03737161294
64	0.03431867377
65	0.03313208935
66	0.02994123216
67	0.02888637526
68	0.02708016125
69	0.0252486841
70	0.02438495582
71	0.02247839726
72	0.02099719807
73	0.02028940525
74	0.01820553796
75	0.01681578539
76	0.01565597649
77	0.01512764905
78	0.01408375554
79	0.01292420098
80	0.01190599734
81	0.01137115971
82	0.01065523945
83	0.00981768835
84	0.009493241102
85	0.008775686299
86	0.007833728961
87	0.007313351328
88	0.00671713896
89	0.006194184152
90	0.005981322118
91	0.005396194674
92	0.00503790499
93	0.004687427063
94	0.004337226173
95	0.003936309615
96	0.003752087345
97	0.003496365469
98	0.003257957032
99	0.003014256452
100	0.00287551111
101	0.00268692427
102	0.002510179342
103	0.00232170483
104	0.002137797221
105	0.001980511934
106	0.001820899774
107	0.001704154695
108	0.00162771238
109	0.001507296851
110	0.001438073046
111	0.001376000453
112	0.001278364118
113	0.001198121128
114	0.001090294784
115	0.001015969162
116	0.0009608821248
117	0.0008629659505
118	0.0008178567656
119	0.0007794368897
120	0.0007463944521
121	0.0006686853135
122	0.0006407406341
123	0.0005853014997
124	0.000531090601
125	0.0005013746784
126	0.0004636988114
127	0.0004252107298
128	0.0003835537399
129	0.0003502547065
130	0.0003139079498
131	0.0003000719842
132	0.0002871540943
133	0.0002657956815
134	0.0002546191022
135	0.0002310563457
136	0.000216188251
137	0.0002000376029
138	0.0001881349034
139	0.0001701253538
140	0.0001606388523
141	0.0001484126868
142	0.000134604158
143	0.0001271168965
144	0.0001234887111
145	0.0001145853738
146	0.000104319086
147	9.83292444e-05
148	9.068521923e-05
149	8.589084566e-05
150	7.984096998e-05
151	7.327923076e-05
152	6.952593294e-05
153	6.470160615e-05
154	5.998971796e-05
155	5.615343085e-05
156	5.349710407e-05
157	4.945370757e-05
158	4.606926629e-05
159	4.273415961e-05
160	4.084157696e-05
161	3.886161781e-05
162	3.61008396e-05
163	3.266163569e-05
164	2.9854088e-05
165	2.851618667e-05
166	2.656023009e-05
167	2.467799114e-05
168	2.278165832e-05
169	2.121951472e-05
170	1.96526141e-05
171	1.831844108e-05
172	1.709401908e-05
173	1.629587264e-05
174	1.523688131e-05
175	1.45912176e-05
176	1.399475555e-05
177	1.345382364e-05
178	1.284523638e-05
179	1.209659205e-05
180	1.14728003e-05
181	1.091874238e-05
182	1.018958847e-05
183	9.501422943e-06
184	8.85744826e-06
185	8.361718892e-06
186	8.020136326e-06
187	7.642461658e-06
188	7.32400658e-06
189	6.847790414e-06
190	6.399244234e-06
191	6.017961213e-06
192	5.653165425e-06
193	5.112254303e-06
194	4.811341731e-06
195	4.417986404e-06
196	4.010293199e-06
197	3.691250402e-06
198	3.468962992e-06
199	3.29119838e-06
200	3.060070892e-06
201	2.818139334e-06
202	2.626126038e-06
203	2.433878136e-06
204	2.289103665e-06
205	2.10800249e-06
206	1.94730585e-06
207	1.761134002e-06
208	1.637172087e-06
209	1.511761307e-06
210	1.430408126e-06
211	1.359407868e-06
212	1.267202498e-06
213	1.18944527e-06
214	1.121576657e-06
215	1.038104474e-06
216	9.635511127e-07
217	9.095015289e-07
218	8.447924722e-07
219	7.795637484e-07
220	7.249709438e-07
221	6.71658436e-07
222	6.234868646e-07
223	5.63373498e-07
224	5.184923541e-07
225	4.78145987e-07
226	4.45810139e-07
227	4.200328186e-07
228	3.870238223e-07
229	3.579434962e-07
230	3.372064795e-07
231	3.139632624e-07
232	2.905470484e-07
233	2.713897229e-07
234	2.524319673e-07
235	2.364240318e-07
236	2.224142961e-07
237	2.120914859e-07
238	1.974096237e-07
239	1.833705512e-07
240	1.731718976e-07
241	1.620054439e-07
242	1.550097139e-07
243	1.487090197e-07
244	1.429999877e-07
